Title;Building Name;Time Required;Cost To Unlock;Unlocked at Depth;Items Required
Titanium Bar;Smelting;1 Minute;300;85;Titanium x 5
Steel pipe;Smelting;1 Minute;255;85;Steel Plate x 1
Coal;Smelting;1 Minute;5;40;Tree x 1
Gold bar;Smelting;1 Minute;200;49;Gold x 5
Silver Bar;Smelting;1 Minute;800;37;Silver x 5
Steel Bar;Smelting;45 Seconds;700;37;Graphite x 1,Iron bar x 1
Glass;Smelting;1 Minute;400;13;Silicon x 2
Aluminium Bar;Smelting;15 Seconds;500;25;Aluminium x 5
Iron bar;Smelting;15 Seconds;200;0;Iron x 5
Copper bar;Smelting;10 Seconds;100;0;Copper x 5
Magnetite Bar;Smelting;1 Minute;350;109;Magnetite Ore x 5
Steel Plate;Smelting;2 Minutes;250;61;Steel Bar x 5
Grape;Greenhouse;30 Minutes;350;62;Grape Seed x 1,Water x 15
Liana;Greenhouse;30 Minutes;300;61;Liana Seed x 1,Water x 20
Tree;Greenhouse;30 Minutes;1;0;Tree Seed x 1,Water x 10
Rubber;Chemistry;30 Minutes;200;61;Liana x 1
Sulfuric acid;Chemistry;30 Minutes;250;61;Sulfur x 2,Clean Water x 1
Ethanol;Chemistry;30 Minutes;300;61;Aluminium bottle x 1,Grape x 2
Refined oil;Chemistry;30 Minutes;350;73;Oil x 10,Hydrogen x 10,Lab Flask x 1
Plastic plate;Chemistry;10 Minutes;400;73;Green Laser x 1,Coal x 50,Refined oil x 1
Titanium;Chemistry;20 Seconds;450;85;Sulfuric acid x 1,Titanium Ore x 100
Diethyl Ether;Chemistry;1 Minute;500;85;Sulfuric acid x 1,Ethanol x 1
Gunpowder;Chemistry;2 Minutes;550;85;Diethyl Ether x 1,Sulfuric acid x 2,Tree x 2
Liquid nitrogen;Chemistry;2 Minutes;555;96;Nitrogen x 10,Compressor x 1,Aluminium bottle x 1
Magnetite Ore;Chemistry;6 Minutes;560;109;Iron bar x 10,Oxygen x 5,Green Laser x 5
Enhanced Helium 3;Chemistry;30 Minutes;565;109;Aluminium bottle x 1,Helium 3 x 100,Compressor x 1
Toxic Bomb;Chemistry;2 Minutes;570;109;Sulfuric acid x 10
Hydrogen;Chemistry;15 Minutes;1;13;Clean Water x 1
Clean Water;Chemistry;10 Minutes;800;13;Lab Flask x 1,Water x 1
Uranium Rod;Uranium Enrichment;2 Minutes;100;84;Uranium x 20,Sodium x 10
Polished amber;Jewel Crafting;30 Seconds;1;50;Amber x 5
Polished emerald;Jewel Crafting;30 Seconds;15;50;Emerald x 5
Polished Diamond;Jewel Crafting;1 Minute;30;61;Diamond x 5
Polished Ruby;Jewel Crafting;1 Minute;25;61;Ruby x 5
Polished Topaz;Jewel Crafting;1 Minute;20;61;Topaz x 5
Polished Sapphire;Jewel Crafting;1 Minute;31;73;Sapphire x 5
Polished Amethyst;Jewel Crafting;1 Minute;32;73;Amethyst x 5
Polished Alexandrite;Jewel Crafting;1 Minute;32;85;Alexandrite x 5
Polished obsidian;Jewel Crafting;1 Minute;33;96;Obsidian x 5
Sapphire crystal glass;Jewel Crafting;2 Minutes;35;96;Polished Sapphire x 10
Amber Bracelet;Jewel Crafting;2 Minutes;1,2;0;Polished amber x 1,Silver Bar x 1
Maya Calendar;Jewel Crafting;2 Minutes;10;0;Gold bar x 10,Silver Bar x 2
Haircomb;Jewel Crafting;2 Minutes;11;0;Polished Alexandrite x 10,Polished Amethyst x 15,Silver Bar x 1
Obsidian knife;Jewel Crafting;2 Minutes;34;0;Polished obsidian x 50,Tree x 2,Silver Bar x 1
Emerald ring;Jewel Crafting;5 Minutes;1,2;0;Polished emerald x 1,Gold bar x 1
LCD Monitor;Crafting;5 Minutes;471;108;Silicon x 5,Insulated Wire x 20,Sapphire crystal glass x 5
Electrical Engine;Crafting;5 Minutes;470;108;Aluminium Bar x 20,Magnet x 1,Insulated Wire x 50
Magnet;Crafting;2 Minutes;465;108;Magnetite Bar x 1
Oxygen cylinder;Crafting;2 Minutes;450;96;Oxygen x 5,Gas cylinder x 1,Compressor x 1
Dry Ice;Crafting;2 Minutes;450;96;Graphite x 1,000,Green Laser x 10,Compressor x 1
Compressor;Crafting;3 Minutes;420;96;Iron bar x 5,Rubber x 1,Refined oil x 2
Lab Flask;Crafting;1 Minute;1;13;Glass x 1
Insulated Wire;Crafting;3 Minutes 20 Seconds;1,7;24;Amber insulation x 1,Wire x 1
Amber insulation;Crafting;20 Seconds;1,5;24;Aluminium bottle x 1,Amber x 10
Aluminium bottle;Crafting;30 Seconds;1,3;24;Aluminium Bar x 1
Amber charger;Crafting;5 Seconds;1,1;24;Amber x 1
Aluminium tank;Crafting;2 Minutes;2;37;Aluminium Bar x 3
Lamp;Crafting;1 Minute20 Seconds;900;13;Graphite x 20,Wire x 10,Copper bar x 5
Circuits;Crafting;3 Minutes;800;13;Copper bar x 20,Graphite x 50,Iron bar x 10
Battery;Crafting;2 Minutes;700;13;Copper bar x 5,Iron bar x 1,Amber x 1
Wire;Crafting;30 Seconds;500;0;Copper bar x 1
Mirror;Crafting;2 Minutes;3;37;Silver Bar x 1,Glass x 1
Mirror Laser;Crafting;2 Minutes;4;37;Mirror x 3,Lamp x 1,Battery x 1
Bomb;Crafting;3 Minutes;410;85;Steel Bar x 5,Gunpowder x 10
Gear;Crafting;1 Minute20 Seconds;400;85;Diamond Cutter x 1,Titanium Bar x 1
Gas cylinder;Crafting;3 Minutes;405;73;Steel Plate x 1,Aluminium tank x 1,Plastic plate x 1
Solar panel;Crafting;1 Minute;400;73;Glass x 50,Silicon x 10,Rubber x 1
Accumulator;Crafting;3 Minutes;300;72;Sodium x 20,Sulfur x 20
Solid propellant;Crafting;20 Minutes;200;61;Rubber x 3,Aluminium Bar x 10
Motherboard;Crafting;30 Minutes;100;61;Silicon x 3,Circuits x 3,Gold bar x 1
Diamond Cutter;Crafting;30 Seconds;50;61;Polished Diamond x 5,Steel Plate x 1
Green Laser;Crafting;20 Seconds;10;53;Lamp x 1,Insulated Wire x 1,Polished emerald x 1
Optic fiber;Crafting;2 Minutes;430;96;Plastic plate x 1,Oxygen x 10,Silicon x 10
Copper Nail;Crafting;20 Seconds;400;0;Copper bar x 1
Copper Knife;Crafting;2 Minutes;100;0;Pumpkin x 1,Copper bar x 1
Zip drive;Crafting;30 Seconds;10;0;Magic box x 1,Circuits x 1
Sock of candies;Crafting;30 Seconds;10;0;Winter sock x 1,Candy batch x 2
Winter sock;Crafting;2 Minutes 30 Seconds;10;0;Candy batch x 1,Graphite x 10,Magic box x 1
Purple Gift;Crafting;30 Minutes;10;0;Magic box x 1,Green Candy x 300
Yellow Gift;Crafting;30 Minutes;10;0;Magic box x 1,Yellow Candy x 300
Crimson Gift;Crafting;30 Minutes;10;0;Magic box x 1,Red Candy x 300
Carved Pumpkin;Crafting;4 Minutes;100;0;Pumpkin x 1,Copper Knife x 1
Candy batch;Crafting;25 Seconds;10;0;Red Candy x 3,Yellow Candy x 3,Green Candy x 3
Graphite;Crafting;5 Seconds;300;0;Coal x 5
